,Date,Visitor Team,Visitor Pts,Home Team,Home Pts
374,Fri Dec 13 2019,Charlotte Hornets,83,Chicago Bulls,73
375,Fri Dec 13 2019,Milwaukee Bucks,127,Memphis Grizzlies,114
376,Fri Dec 13 2019,Golden State Warriors,106,Utah Jazz,114
377,Fri Dec 13 2019,Los Angeles Clippers,124,Minnesota Timberwolves,117
378,Fri Dec 13 2019,New York Knicks,103,Sacramento Kings,101
379,Sat Dec 14 2019,San Antonio Spurs,121,Phoenix Suns,119
380,Sat Dec 14 2019,Brooklyn Nets,102,Toronto Raptors,110
381,Sat Dec 14 2019,Los Angeles Clippers,106,Chicago Bulls,109
382,Sat Dec 14 2019,Washington Wizards,111,Memphis Grizzlies,128
383,Sat Dec 14 2019,Miami Heat,122,Dallas Mavericks,118
384,Sat Dec 14 2019,Cleveland Cavaliers,108,Milwaukee Bucks,125
385,Sat Dec 14 2019,Oklahoma City Thunder,102,Denver Nuggets,110
386,Sat Dec 14 2019,Detroit Pistons,115,Houston Rockets,107
387,Sun Dec 15 2019,Orlando Magic,130,New Orleans Pelicans,119
388,Sun Dec 15 2019,Charlotte Hornets,85,Indiana Pacers,107
389,Sun Dec 15 2019,Los Angeles Lakers,101,Atlanta Hawks,96
390,Sun Dec 15 2019,Philadelphia 76ers,89,Brooklyn Nets,109
391,Sun Dec 15 2019,New York Knicks,105,Denver Nuggets,111
392,Sun Dec 15 2019,Sacramento Kings,100,Golden State Warriors,79
393,Mon Dec 16 2019,Washington Wizards,133,Detroit Pistons,119
394,Mon Dec 16 2019,Cleveland Cavaliers,113,Toronto Raptors,133
395,Mon Dec 16 2019,San Antonio Spurs,107,Houston Rockets,109
396,Mon Dec 16 2019,Miami Heat,111,Memphis Grizzlies,118
397,Mon Dec 16 2019,Dallas Mavericks,120,Milwaukee Bucks,116
398,Mon Dec 16 2019,Chicago Bulls,106,Oklahoma City Thunder,109
399,Mon Dec 16 2019,Portland Trail Blazers,111,Phoenix Suns,110
400,Tue Dec 17 2019,Sacramento Kings,102,Charlotte Hornets,110
401,Tue Dec 17 2019,Los Angeles Lakers,102,Indiana Pacers,105
402,Tue Dec 17 2019,Atlanta Hawks,120,New York Knicks,143
403,Tue Dec 17 2019,Brooklyn Nets,108,New Orleans Pelicans,101
404,Tue Dec 17 2019,Orlando Magic,102,Utah Jazz,109
405,Tue Dec 17 2019,Phoenix Suns,99,Los Angeles Clippers,120
406,Wed Dec 18 2019,Charlotte Hornets,98,Cleveland Cavaliers,100
407,Wed Dec 18 2019,Toronto Raptors,112,Detroit Pistons,99
408,Wed Dec 18 2019,Miami Heat,108,Philadelphia 76ers,104
409,Wed Dec 18 2019,Chicago Bulls,110,Washington Wizards,109
410,Wed Dec 18 2019,New Orleans Pelicans,107,Minnesota Timberwolves,99
411,Wed Dec 18 2019,Memphis Grizzlies,122,Oklahoma City Thunder,126
412,Wed Dec 18 2019,Orlando Magic,104,Denver Nuggets,113
413,Wed Dec 18 2019,Boston Celtics,109,Dallas Mavericks,103
414,Wed Dec 18 2019,Golden State Warriors,112,Portland Trail Blazers,122
415,Thu Dec 19 2019,Utah Jazz,111,Atlanta Hawks,106
416,Thu Dec 19 2019,Los Angeles Lakers,104,Milwaukee Bucks,111
417,Thu Dec 19 2019,Brooklyn Nets,105,San Antonio Spurs,118
418,Thu Dec 19 2019,Houston Rockets,122,Los Angeles Clippers,117
419,Fri Dec 20 2019,Memphis Grizzlies,107,Cleveland Cavaliers,114
420,Fri Dec 20 2019,Sacramento Kings,105,Indiana Pacers,119
421,Fri Dec 20 2019,Detroit Pistons,93,Boston Celtics,114
422,Fri Dec 20 2019,Washington Wizards,118,Toronto Raptors,122
423,Fri Dec 20 2019,New York Knicks,114,Miami Heat,129
424,Fri Dec 20 2019,Phoenix Suns,108,Oklahoma City Thunder,126
425,Fri Dec 20 2019,Dallas Mavericks,117,Philadelphia 76ers,98
426,Fri Dec 20 2019,Minnesota Timberwolves,100,Denver Nuggets,109
427,Fri Dec 20 2019,Orlando Magic,103,Portland Trail Blazers,118
428,Fri Dec 20 2019,New Orleans Pelicans,102,Golden State Warriors,106
429,Sat Dec 21 2019,Utah Jazz,114,Charlotte Hornets,107
430,Sat Dec 21 2019,Atlanta Hawks,112,Brooklyn Nets,122
431,Sat Dec 21 2019,Chicago Bulls,119,Detroit Pistons,107
432,Sat Dec 21 2019,Washington Wizards,108,Philadelphia 76ers,125
433,Sat Dec 21 2019,Milwaukee Bucks,123,New York Knicks,102
434,Sat Dec 21 2019,Sacramento Kings,115,Memphis Grizzlies,119
435,Sat Dec 21 2019,Los Angeles Clippers,134,San Antonio Spurs,109
436,Sat Dec 21 2019,Houston Rockets,139,Phoenix Suns,125
437,Sat Dec 21 2019,Minnesota Timberwolves,106,Portland Trail Blazers,113
438,Sun Dec 22 2019,Dallas Mavericks,107,Toronto Raptors,110
439,Sun Dec 22 2019,Charlotte Hornets,93,Boston Celtics,119
440,Sun Dec 22 2019,Indiana Pacers,89,Milwaukee Bucks,117
441,Sun Dec 22 2019,Los Angeles Clippers,112,Oklahoma City Thunder,118
442,Sun Dec 22 2019,Denver Nuggets,128,Los Angeles Lakers,104
443,Mon Dec 23 2019,Atlanta Hawks,118,Cleveland Cavaliers,121
444,Mon Dec 23 2019,Philadelphia 76ers,125,Detroit Pistons,109
445,Mon Dec 23 2019,Toronto Raptors,115,Indiana Pacers,120
446,Mon Dec 23 2019,Washington Wizards,121,New York Knicks,115
447,Mon Dec 23 2019,Chicago Bulls,95,Orlando Magic,103
448,Mon Dec 23 2019,Utah Jazz,104,Miami Heat,107
449,Mon Dec 23 2019,San Antonio Spurs,145,Memphis Grizzlies,115
450,Mon Dec 23 2019,Denver Nuggets,113,Phoenix Suns,111
451,Mon Dec 23 2019,New Orleans Pelicans,102,Portland Trail Blazers,94
452,Mon Dec 23 2019,Houston Rockets,113,Sacramento Kings,104
453,Mon Dec 23 2019,Minnesota Timberwolves,104,Golden State Warriors,113
454,Wed Dec 25 2019,Boston Celtics,118,Toronto Raptors,102
455,Wed Dec 25 2019,Milwaukee Bucks,109,Philadelphia 76ers,121
456,Wed Dec 25 2019,Houston Rockets,104,Golden State Warriors,116
457,Wed Dec 25 2019,Los Angeles Clippers,111,Los Angeles Lakers,106
458,Wed Dec 25 2019,New Orleans Pelicans,112,Denver Nuggets,100
459,Thu Dec 26 2019,Washington Wizards,102,Detroit Pistons,132
460,Thu Dec 26 2019,New York Knicks,94,Brooklyn Nets,82
461,Thu Dec 26 2019,San Antonio Spurs,98,Dallas Mavericks,102
462,Thu Dec 26 2019,Memphis Grizzlies,110,Oklahoma City Thunder,97
463,Thu Dec 26 2019,Minnesota Timberwolves,105,Sacramento Kings,104
464,Thu Dec 26 2019,Portland Trail Blazers,115,Utah Jazz,121
465,Fri Dec 27 2019,Cleveland Cavaliers,117,Boston Celtics,129
466,Fri Dec 27 2019,Oklahoma City Thunder,104,Charlotte Hornets,102
467,Fri Dec 27 2019,Philadelphia 76ers,97,Orlando Magic,98
468,Fri Dec 27 2019,Milwaukee Bucks,112,Atlanta Hawks,86
469,Fri Dec 27 2019,Indiana Pacers,112,Miami Heat,113
470,Fri Dec 27 2019,Phoenix Suns,96,Golden State Warriors,105
471,Sat Dec 28 2019,Memphis Grizzlies,110,Denver Nuggets,119
472,Sat Dec 28 2019,Toronto Raptors,113,Boston Celtics,97
473,Sat Dec 28 2019,Indiana Pacers,98,New Orleans Pelicans,120
474,Sat Dec 28 2019,Atlanta Hawks,81,Chicago Bulls,116
475,Sat Dec 28 2019,Brooklyn Nets,98,Houston Rockets,108
476,Sat Dec 28 2019,Philadelphia 76ers,116,Miami Heat,117
477,Sat Dec 28 2019,Cleveland Cavaliers,94,Minnesota Timberwolves,88
478,Sat Dec 28 2019,New York Knicks,107,Washington Wizards,100
479,Sat Dec 28 2019,Dallas Mavericks,141,Golden State Warriors,121
480,Sat Dec 28 2019,Orlando Magic,100,Milwaukee Bucks,111
481,Sat Dec 28 2019,Detroit Pistons,109,San Antonio Spurs,136
482,Sat Dec 28 2019,Phoenix Suns,112,Sacramento Kings,110
483,Sat Dec 28 2019,Los Angeles Lakers,128,Portland Trail Blazers,120
484,Sat Dec 28 2019,Utah Jazz,120,Los Angeles Clippers,107
485,Sun Dec 29 2019,Oklahoma City Thunder,98,Toronto Raptors,97
486,Sun Dec 29 2019,Sacramento Kings,115,Denver Nuggets,120
487,Sun Dec 29 2019,Charlotte Hornets,104,Memphis Grizzlies,117
488,Sun Dec 29 2019,Houston Rockets,112,New Orleans Pelicans,127
489,Sun Dec 29 2019,Dallas Mavericks,95,Los Angeles Lakers,108
490,Mon Dec 30 2019,Atlanta Hawks,101,Orlando Magic,93
491,Mon Dec 30 2019,Miami Heat,105,Washington Wizards,123
492,Mon Dec 30 2019,Milwaukee Bucks,123,Chicago Bulls,102
493,Mon Dec 30 2019,Brooklyn Nets,115,Minnesota Timberwolves,122
494,Mon Dec 30 2019,Detroit Pistons,81,Utah Jazz,104
495,Mon Dec 30 2019,Phoenix Suns,122,Portland Trail Blazers,116
496,Tue Dec 31 2019,Boston Celtics,109,Charlotte Hornets,92
497,Tue Dec 31 2019,Philadelphia 76ers,97,Indiana Pacers,115
498,Tue Dec 31 2019,Los Angeles Clippers,105,Sacramento Kings,87
499,Tue Dec 31 2019,Denver Nuggets,104,Houston Rockets,130
500,Tue Dec 31 2019,Golden State Warriors,113,San Antonio Spurs,117
501,Tue Dec 31 2019,Cleveland Cavaliers,97,Toronto Raptors,117
502,Tue Dec 31 2019,Dallas Mavericks,101,Oklahoma City Thunder,106
503,Wed Jan 1 2020,Orlando Magic,122,Washington Wizards,101
504,Wed Jan 1 2020,Portland Trail Blazers,93,New York Knicks,117
505,Wed Jan 1 2020,Minnesota Timberwolves,104,Milwaukee Bucks,106
506,Wed Jan 1 2020,Phoenix Suns,107,Los Angeles Lakers,117
507,Thu Jan 2 2020,Charlotte Hornets,109,Cleveland Cavaliers,106
508,Thu Jan 2 2020,Denver Nuggets,124,Indiana Pacers,116
509,Thu Jan 2 2020,Toronto Raptors,76,Miami Heat,84
510,Thu Jan 2 2020,Utah Jazz,102,Chicago Bulls,98
511,Thu Jan 2 2020,Golden State Warriors,84,Minnesota Timberwolves,99
512,Thu Jan 2 2020,Brooklyn Nets,111,Dallas Mavericks,123
513,Thu Jan 2 2020,Oklahoma City Thunder,109,San Antonio Spurs,103
514,Thu Jan 2 2020,Memphis Grizzlies,123,Sacramento Kings,128
515,Thu Jan 2 2020,Detroit Pistons,112,Los Angeles Clippers,126
516,Fri Jan 3 2020,Atlanta Hawks,106,Boston Celtics,109
517,Fri Jan 3 2020,Miami Heat,85,Orlando Magic,105
518,Fri Jan 3 2020,Portland Trail Blazers,122,Washington Wizards,103
519,Fri Jan 3 2020,Philadelphia 76ers,108,Houston Rockets,118
520,Fri Jan 3 2020,New York Knicks,112,Phoenix Suns,120
521,Fri Jan 3 2020,New Orleans Pelicans,113,Los Angeles Lakers,123
522,Sat Jan 4 2020,Memphis Grizzlies,140,Los Angeles Clippers,114
523,Sat Jan 4 2020,Toronto Raptors,121,Brooklyn Nets,102
524,Sat Jan 4 2020,Utah Jazz,109,Orlando Magic,96
525,Sat Jan 4 2020,Indiana Pacers,111,Atlanta Hawks,116
526,Sat Jan 4 2020,Oklahoma City Thunder,121,Cleveland Cavaliers,106
527,Sat Jan 4 2020,Boston Celtics,111,Chicago Bulls,104
528,Sat Jan 4 2020,Denver Nuggets,114,Washington Wizards,128
529,Sat Jan 4 2020,Charlotte Hornets,123,Dallas Mavericks,120
530,Sat Jan 4 2020,Detroit Pistons,111,Golden State Warriors,104
531,Sat Jan 4 2020,San Antonio Spurs,118,Milwaukee Bucks,127
532,Sat Jan 4 2020,New Orleans Pelicans,117,Sacramento Kings,115
533,Sun Jan 5 2020,New York Knicks,132,Los Angeles Clippers,135
534,Sun Jan 5 2020,Portland Trail Blazers,111,Miami Heat,122
535,Sun Jan 5 2020,Minnesota Timberwolves,118,Cleveland Cavaliers,103
536,Sun Jan 5 2020,Memphis Grizzlies,121,Phoenix Suns,114
537,Sun Jan 5 2020,Detroit Pistons,99,Los Angeles Lakers,106
538,Mon Jan 6 2020,Indiana Pacers,115,Charlotte Hornets,104
539,Mon Jan 6 2020,Brooklyn Nets,89,Orlando Magic,101
540,Mon Jan 6 2020,Oklahoma City Thunder,113,Philadelphia 76ers,120
541,Mon Jan 6 2020,Boston Celtics,94,Washington Wizards,99
542,Mon Jan 6 2020,Denver Nuggets,123,Atlanta Hawks,115
543,Mon Jan 6 2020,Utah Jazz,128,New Orleans Pelicans,126
544,Mon Jan 6 2020,Chicago Bulls,110,Dallas Mavericks,118
545,Mon Jan 6 2020,Milwaukee Bucks,104,San Antonio Spurs,126
546,Mon Jan 6 2020,Golden State Warriors,98,Sacramento Kings,111
547,Tue Jan 7 2020,Detroit Pistons,115,Cleveland Cavaliers,113
548,Tue Jan 7 2020,Portland Trail Blazers,101,Toronto Raptors,99
549,Tue Jan 7 2020,Oklahoma City Thunder,111,Brooklyn Nets,103
550,Tue Jan 7 2020,Minnesota Timberwolves,112,Memphis Grizzlies,119
551,Tue Jan 7 2020,Sacramento Kings,114,Phoenix Suns,103
552,Tue Jan 7 2020,New York Knicks,87,Los Angeles Lakers,117
553,Wed Jan 8 2020,San Antonio Spurs,129,Boston Celtics,114
554,Wed Jan 8 2020,Toronto Raptors,112,Charlotte Hornets,110
555,Wed Jan 8 2020,Miami Heat,122,Indiana Pacers,108
556,Wed Jan 8 2020,Washington Wizards,89,Orlando Magic,123
557,Wed Jan 8 2020,Houston Rockets,122,Atlanta Hawks,115
558,Wed Jan 8 2020,Denver Nuggets,107,Dallas Mavericks,106
559,Wed Jan 8 2020,Chicago Bulls,108,New Orleans Pelicans,123
560,Wed Jan 8 2020,New York Knicks,104,Utah Jazz,128
561,Wed Jan 8 2020,Milwaukee Bucks,107,Golden State Warriors,98
562,Thu Jan 9 2020,Cleveland Cavaliers,115,Detroit Pistons,112
563,Thu Jan 9 2020,Boston Celtics,98,Philadelphia 76ers,109
564,Thu Jan 9 2020,Portland Trail Blazers,102,Minnesota Timberwolves,116
565,Thu Jan 9 2020,Houston Rockets,92,Oklahoma City Thunder,113
566,Fri Jan 10 2020,Atlanta Hawks,101,Washington Wizards,111
567,Fri Jan 10 2020,New Orleans Pelicans,123,New York Knicks,111
568,Fri Jan 10 2020,Miami Heat,113,Brooklyn Nets,117
569,Fri Jan 10 2020,Indiana Pacers,116,Chicago Bulls,105
570,Fri Jan 10 2020,San Antonio Spurs,121,Memphis Grizzlies,134
571,Fri Jan 10 2020,Orlando Magic,94,Phoenix Suns,98
572,Fri Jan 10 2020,Charlotte Hornets,92,Utah Jazz,109
573,Fri Jan 10 2020,Los Angeles Lakers,129,Dallas Mavericks,114
574,Fri Jan 10 2020,Milwaukee Bucks,127,Sacramento Kings,106
575,Fri Jan 10 2020,Golden State Warriors,100,Los Angeles Clippers,109
576,Sat Jan 11 2020,Minnesota Timberwolves,109,Houston Rockets,139
577,Sat Jan 11 2020,New Orleans Pelicans,105,Boston Celtics,140
578,Sat Jan 11 2020,Chicago Bulls,108,Detroit Pistons,99
579,Sat Jan 11 2020,Los Angeles Lakers,125,Oklahoma City Thunder,110
580,Sat Jan 11 2020,Philadelphia 76ers,91,Dallas Mavericks,109
581,Sat Jan 11 2020,Cleveland Cavaliers,111,Denver Nuggets,103
582,Sat Jan 11 2020,Milwaukee Bucks,122,Portland Trail Blazers,101
583,Sun Jan 12 2020,Miami Heat,121,New York Knicks,124
584,Sun Jan 12 2020,Utah Jazz,127,Washington Wizards,116
585,Sun Jan 12 2020,Atlanta Hawks,86,Brooklyn Nets,108
586,Sun Jan 12 2020,Golden State Warriors,102,Memphis Grizzlies,122
587,Sun Jan 12 2020,San Antonio Spurs,105,Toronto Raptors,104
588,Sun Jan 12 2020,Los Angeles Clippers,104,Denver Nuggets,114
589,Sun Jan 12 2020,Charlotte Hornets,92,Phoenix Suns,100
590,Mon Jan 13 2020,New Orleans Pelicans,117,Detroit Pistons,110
591,Mon Jan 13 2020,Philadelphia 76ers,95,Indiana Pacers,101
592,Mon Jan 13 2020,Chicago Bulls,101,Boston Celtics,113
593,Mon Jan 13 2020,Oklahoma City Thunder,117,Minnesota Timberwolves,104
594,Mon Jan 13 2020,Charlotte Hornets,112,Portland Trail Blazers,115
595,Mon Jan 13 2020,Orlando Magic,114,Sacramento Kings,112
596,Mon Jan 13 2020,Cleveland Cavaliers,99,Los Angeles Lakers,128
597,Tue Jan 14 2020,Phoenix Suns,110,Atlanta Hawks,123
598,Tue Jan 14 2020,Utah Jazz,118,Brooklyn Nets,107
599,Tue Jan 14 2020,Houston Rockets,110,Memphis Grizzlies,121
600,Tue Jan 14 2020,New York Knicks,102,Milwaukee Bucks,128
601,Tue Jan 14 2020,Dallas Mavericks,124,Golden State Warriors,97
602,Tue Jan 14 2020,Cleveland Cavaliers,103,Los Angeles Clippers,128
603,Wed Jan 15 2020,Detroit Pistons,116,Boston Celtics,103
604,Wed Jan 15 2020,Brooklyn Nets,106,Philadelphia 76ers,117
605,Wed Jan 15 2020,San Antonio Spurs,100,Miami Heat,106
606,Wed Jan 15 2020,Washington Wizards,106,Chicago Bulls,115
607,Wed Jan 15 2020,Indiana Pacers,104,Minnesota Timberwolves,99
608,Wed Jan 15 2020,Toronto Raptors,130,Oklahoma City Thunder,121
609,Wed Jan 15 2020,Charlotte Hornets,86,Denver Nuggets,100
610,Wed Jan 15 2020,Portland Trail Blazers,117,Houston Rockets,107
